Rank,Movie Title,Worldwide Gross,Domestic Gross
117,Alice in Wonderland,"$15,406,598",-
118,Nuremberg,"$15,252,786","$12,530,330"
119,The Last Rodeo,"$15,202,565","$15,201,659"
120,Grand Prix of Europe,"$14,892,488","$709,155"
121,The Match,"$14,563,318",-
122,Wunderschöner,"$14,523,318",-
123,Black Showman,"$14,377,330",-
124,The Penguin Lessons,"$14,208,954","$3,294,990"
125,Hi-Five,"$14,125,640","$111,394"
126,Kraken,"$13,980,928",-
127,Clown in a Cornfield,"$13,850,731","$7,251,799"
128,Eddington,"$13,726,283","$10,223,277"
129,5 Centimeters Per Second,"$13,678,791",-
130,The 4 Rascals,"$13,125,103",-
131,Back to the Future 40th Anniversary,"$13,123,545","$7,923,545"
132,Shinso wo Ohanashi Shimasu,"$13,073,325",-
133,Saiyaara,"$12,903,760","$3,359,480"
134,The Three Investigators and the Carpathian Dog,"$12,880,508",-
135,Becoming Led Zeppelin,"$12,816,710","$10,403,353"
136,The Chosen: Woes/The Chosen: The Same Coin/The Chosen: Because of Me,"$12,536,179","$12,372,228"
137,The Chosen: Reunions/The Chosen: The Upper Room Part I/The Chosen: The Upper Room Part II,"$12,456,592","$11,742,410"
138,Noise,"$12,354,299",-
139,Colorful Stage! The Movie: A Miku Who Can't Sing,"$12,330,488","$3,661,284"
140,Once Upon My Mother,"$11,996,318",-
141,Dark Nuns,"$11,992,833","$103,433"
142,Uta No Prince-Sama: Maji Love Taboo Night Xxxx,"$11,984,541",-
143,Trillion Game,"$11,766,075",-
144,Bakudan,"$11,680,142",-
145,Hypnosis Mic - Division Rap Battle,"$11,616,231",-
146,Dollhouse,"$11,567,855",-
147,How to Make a Killing,"$11,511,605",-
148,Pets on a Train,"$11,451,557","$1,873,557"
149,Toy Story 2025 Re-release,"$11,427,639","$6,721,383"
150,About a Place in the Kinki Region,"$11,413,063",-
151,Papiny dochki. Mama vernulas,"$11,230,072",-
152,Sarah's Oil,"$11,150,635","$11,150,635"
153,Dog 51,"$11,088,196",-
154,Doraemon: Nobita's Art World Tales,"$11,081,659",-
155,Presence,"$11,069,405","$6,900,044"
156,Princess Mononoke 2025 Re-release,"$10,654,413",-
157,To the Village to Grandpa,"$10,549,632",-
158,The Salt Path,"$10,288,173",-
159,Sketch,"$10,244,356","$8,129,808"
160,The Alto Knights,"$10,203,664","$6,103,664"
161,Frontline - Yokohama Bay,"$10,118,572",-
162,Detective Kien: The Headless Horror,"$9,768,694",-
163,Die My Love,"$9,729,320","$5,472,206"
164,Hijacked,"$9,558,929",-
165,Sentimental Value,"$9,522,968","$2,338,668"
166,Nha Gia Tien,"$9,506,056",-
167,Jujutsu Kaisen: Hidden Inventory / Premature Death - The Movie,"$9,395,267","$3,257,365"
168,After the Hunt,"$9,364,139","$3,258,830"
169,L2: Empuraan,"$9,283,660",-
170,Sirat,"$9,281,189","$34,057"
171,Dangerous Animals,"$9,207,791","$2,738,137"
172,Omniscient Reader: The Prophecy,"$9,187,679",-
173,Face Off 8: Embrace of Light,"$8,913,270",-
174,Under Ninja,"$8,782,158",-
175,Good Boy,"$8,676,112","$6,624,062"
176,Night of the Zoopocalypse,"$8,626,624","$2,108,907"
177,Red Silk,"$8,424,858",-
178,It Was Just an Accident,"$8,369,094","$1,403,176"
179,Six: The Musical Live!,"$8,362,910",-
180,Money Kisses,"$8,325,363",-
181,Kaamelott - Deuxième volet: Partie 1,"$8,268,485",-
182,Chhaava,"$8,219,603","$4,800,000"
183,Colours of Time,"$8,198,612",-
184,Amrum,"$7,978,949",-
185,His Name Was Not Listed,"$7,967,512",-
186,Chickenhare and the Secret of the Groundhog,"$7,967,096",-
187,I Swear,"$7,822,183",-
188,Hurry Up Tomorrow,"$7,763,862","$5,215,357"
189,The Ugly,"$7,736,087","$58,395"
190,Pumuckl and the Big Misunderstanding,"$7,716,633",-
191,Life Goes This Way,"$7,550,929",-
192,Tsarevna-lyagushka,"$7,532,015",-
193,The Unbreakable Boy,"$7,529,033","$6,443,813"
194,Pride & Prejudice 20th Anniversary Re-Release,"$7,507,334","$6,193,658"
195,Coolie,"$7,501,962","$2,450,000"
196,Rental Family,"$7,489,085","$7,489,085"
197,Lokah Chapter One: Chandra,"$7,487,193",-
198,Honey Don't!,"$7,465,259","$5,810,510"
199,Soul on Fire,"$7,447,212","$7,447,212"
200,Les Bodin's partent en vrille,"$7,277,574",-
